president,congress,congress_start_year,congress_end_year,nominee,court_name,nomination_date,recess_appointment,outcome
"George Washington (1789-1797)
",1st,1789,1791,"Harrison, Robert H.",Supreme Court,1789-09-24 00:00:00,False,"confirmed September 26, 1789; nominee declined"
"George Washington (1789-1797)
",1st,1789,1791,"Johnson, Thomas",District of Maryland,1789-09-24 00:00:00,False,"confirmed September 26, 1789; nominee declined"
"George Washington (1789-1797)
",1st,1789,1791,"Pendleton, Edmund",District of Virginia,1789-09-24 00:00:00,False,"confirmed September 26, 1789; nominee declined"
"George Washington (1789-1797)
",1st,1789,1791,"Pinckney, Thomas",District of South Carolina,1789-09-24 00:00:00,False,"confirmed September 26, 1789; nominee declined"
"George Washington (1789-1797)
",1st,1789,1791,"Davie, William R.",District of North Carolina,1790-06-07 00:00:00,False,"confirmed June 8, 1790; nominee declined"
"George Washington (1789-1797)
",2nd,1791,1793,"Paterson, William (1)",Supreme Court,1793-02-27 00:00:00,False,"withdrawn by president February 28, 1793"
"George Washington (1789-1797)
",3rd,1793,1795,"Harrison, Richard",District of New York,1794-04-16 00:00:00,False,"withdrawn by president May 5, 1794"
"George Washington (1789-1797)
",4th,1795,1797,"Rutledge, John (2)","Chief Justice, Supreme Court",1795-12-10 00:00:00,False,"rejected by Senate December 15, 1795"
"George Washington (1789-1797)
",4th,1795,1797,"Cushing, William","Chief Justice, Supreme Court",1796-01-26 00:00:00,False,"confirmed January 27, 1796; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Jay, John","Chief Justice, Supreme Court",1800-12-18 00:00:00,False,"confirmed December 19, 1800; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Greene, Ray",District of Rhode Island,1801-02-18 00:00:00,False,"confirmed February 20, 1801; no commission issued"
"John Adams (1797-1801)
",6th,1799,1801,"Ingersoll, Jared","Chief Judge, Third Circuit",1801-02-18 00:00:00,False,"confirmed February 20, 1801; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Lee, Charles","Chief Judge, Fourth Circuit",1801-02-18 00:00:00,False,"confirmed February 20, 1801; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Bee, Thomas","Chief Judge, Fifth Circuit",1801-02-21 00:00:00,False,"confirmed February 24, 1801; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Clay, Joseph, Jr.",Fifth Circuit,1801-02-21 00:00:00,False,"confirmed February 24, 1801; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Hill, William H.","Albemarle, Cape Fear and Pamptico Districts of North Carolina",1801-02-21 00:00:00,False,"confirmed February 24, 1801; vacancy did not occur"
"John Adams (1797-1801)
",6th,1799,1801,"Read, Jacob",District of South Carolina,1801-02-21 00:00:00,False,"confirmed February 24, 1801; vacancy did not occur"
"John Adams (1797-1801)
",6th,1799,1801,"Sitgreaves, John",Fifth Circuit,1801-02-21 00:00:00,False,"confirmed February 24, 1801; nominee declined"
"John Adams (1797-1801)
",6th,1799,1801,"Gibbons, Thomas",District of Georgia,1801-02-24 00:00:00,False,"confirmed February 25, 1801; vacancy did not occur"
"John Adams (1797-1801)
",6th,1799,1801,"Johnson, Thomas","Chief Judge, Circuit Court of the District of Columbia",1801-02-28 00:00:00,False,"confirmed March 3, 1801; nominee declined"
"Thomas Jefferson (1801-1809)
",7th,1801,1803,"Gaillard, Theodore","Chief Judge, Fifth Circuit",1801-05-30 00:00:00,True,appointee declined
"Thomas Jefferson (1801-1809)
",8th,1803,1805,"Tompkins, Daniel D.",District of New York,1805-03-01 00:00:00,False,"confirmed March 2, 1805; nominee declined"
"Thomas Jefferson (1801-1809)
",9th,1805,1807,"Livingston, Henry B.",District of New York,1805-05-16 00:00:00,True,appointee declined
"James Madison (1809-1817)
",11th,1809,1811,"Lincoln, Levi",Supreme Court,1811-01-02 00:00:00,False,"confirmed January 3, 1811; nominee declined"
"James Madison (1809-1817)
",11th,1809,1811,"Wolcott, Alexander",Supreme Court,1811-02-04 00:00:00,False,"rejected by Senate February 13, 1811"
